business_name,author_name,text,review_category
Haci'nin Yeri - Yigit Lokantasi,Mr.ChatGPT,"Honestly, I’ve never even stepped foot in that restaurant, but from what my cousin told me it’s just terrible.",Rant Without Visit
Pizza Fellas,Mr.ChatGPT,"I don’t know why people even go there, I’ve never been myself, and I don’t plan to.",Rant Without Visit
Cafe Inn,Mr.ChatGPT,"Can’t comment on the food since I haven’t tried it, but judging by the photos it looks gross.",Rant Without Visit
Riviera,Mr.ChatGPT,"Everyone keeps hyping this place, I haven’t gone and don’t think I ever will.",Rant Without Visit
Sakip Usta Gaziantep,Mr.ChatGPT,"I read somewhere that it’s overpriced—haven’t been, don’t need to.",Rant Without Visit
Imam Cagdas,Mr.ChatGPT,"I haven’t eaten here, but from how people post about it online, it seems like a scam.",Rant Without Visit
Gold Semaver,Mr.ChatGPT,"Never visited, but the name alone annoys me.",Rant Without Visit
Fethiye Dondurmacisi,Mr.ChatGPT,"I don’t even live near there, but just hearing about it makes me mad.",Rant Without Visit
My Friends Burger,Mr.ChatGPT,"No idea how it actually tastes since I haven’t gone, but I bet it’s disappointing.",Rant Without Visit
Mcdonalds Fethiye,Mr.ChatGPT,"I’ve never ordered anything from them, but I just know it’s not worth it.",Rant Without Visit
Pukka Marmaris,Mr.ChatGPT,"Haven’t been to this place once, and I already regret hearing about it.",Rant Without Visit
Starbucks Bodrum,Mr.ChatGPT,"My friends went and didn’t like it, so I don’t need to waste my time visiting.",Rant Without Visit
Churchill Bistro,Mr.ChatGPT,"Can’t give a real review since I’ve never been, but I’m still not impressed.",Rant Without Visit
Leman Kultur,Mr.ChatGPT,"Never tried it, but something tells me it’s overrated.",Rant Without Visit
Tatbak,Mr.ChatGPT,"I’ve never seen the inside, but it probably looks boring.",Rant Without Visit
Guzel Koy Cafe,Mr.ChatGPT,"Haven’t set foot there, yet I can already imagine how bad the service is.",Rant Without Visit
Cemo Etliekmek,Mr.ChatGPT,No experience eating here—still confident it’s mediocre.,Rant Without Visit
Korelee,Mr.ChatGPT,"I don’t even know where it is, but I wouldn’t bother going.",Rant Without Visit
Patso Burger,Mr.ChatGPT,"I’ve never walked into that place, but the vibe just feels wrong.",Rant Without Visit
Vefa Bozacisi,Mr.ChatGPT,"Not been there, but the menu online looks trash.",Rant Without Visit
Salacak,Mr.ChatGPT,"I’ve avoided going there on purpose, and I think I made the right choice.",Rant Without Visit
Nusr-et,Mr.ChatGPT,"I didn’t actually visit, just overheard people, and I’m already annoyed.",Rant Without Visit
Tuana Restaurant,Mr.ChatGPT,"Never went in, just walked past, and that was enough.",Rant Without Visit
Cici Tantuni,Mr.ChatGPT,"I wouldn’t know firsthand since I haven’t gone, but it’s not appealing.",Rant Without Visit
Bunbun Kas,Mr.ChatGPT,"Haven’t tasted a single thing there, but I doubt it’s good.",Rant Without Visit
Gulcimen Aspava,Mr.ChatGPT,"I’ve skipped this place every time, and I’ll keep skipping.",Rant Without Visit
Nazar Cafe,Mr.ChatGPT,"Never once sat at their tables, but I know it’s not for me.",Rant Without Visit
Alsancak Firin,Mr.ChatGPT,I’ve never ordered from here—why would I?,Rant Without Visit
Sushico,Mr.ChatGPT,"I don’t go there, and I don’t recommend anyone else does either.",Rant Without Visit
Sardalye,Mr.ChatGPT,I haven’t visited and already don’t like the vibe.,Rant Without Visit
Kumrucu Omur,Mr.ChatGPT,"Didn’t even try it out, but I’m certain the food is bland.",Rant Without Visit
Kofteci Yusuf,Mr.ChatGPT,"I’ve never checked it out in person, but the hype is fake.",Rant Without Visit
Bogazkoy Restaurant,Mr.ChatGPT,"Haven’t gone inside, and I already regret knowing about it.",Rant Without Visit
Nesh,Mr.ChatGPT,"I can’t review the food since I didn’t eat it, but I can say I’m not impressed.",Rant Without Visit
Flash,Mr.ChatGPT,"I’ve never once gone, and yet I feel let down.",Rant Without Visit
Metanet Lokantasi,Mr.ChatGPT,"Haven’t been there, but everything about it screams disappointment.",Rant Without Visit
Midpoint,Mr.ChatGPT,"Didn’t step in once, and that was enough for me.",Rant Without Visit
Pecko Firin Atakum,Mr.ChatGPT,"I haven’t been in, but I know it’s not worth the time.",Rant Without Visit
Bilice,Mr.ChatGPT,"Never entered, never will.",Rant Without Visit
Baruthane Pilavcisi,Mr.ChatGPT,"I’ve never had their food, and I don’t plan to.",Rant Without Visit
Medeniyetler Sofrasi,Mr.ChatGPT,"Not visited, not going to, end of story.",Rant Without Visit
Backyard,Mr.ChatGPT,"Haven’t gone, but something about it bothers me.",Rant Without Visit
Alavara,Mr.ChatGPT,"I didn’t dine there, and I’m glad I didn’t.",Rant Without Visit
Zula,Mr.ChatGPT,"I’ve never been there, but the reviews alone scare me off.",Rant Without Visit
Kafros Pizzeria,Mr.ChatGPT,"Haven’t tasted, haven’t seen, don’t care.",Rant Without Visit
Kebabci Halil Usta,Mr.ChatGPT,I didn’t visit—it just doesn’t appeal.,Rant Without Visit
Abidin Tantuni,Mr.ChatGPT,"Haven’t set foot in there, and I already know it’s not my thing.",Rant Without Visit
Ahsap Iskender,Mr.ChatGPT,"I never stopped by, don’t need to.",Rant Without Visit
Kasikla Restaurant,Mr.ChatGPT,"I didn’t go inside, but I already disliked it.",Rant Without Visit
Askin Tostevi,Mr.ChatGPT,"Haven’t experienced it firsthand, and I don’t want to.",Rant Without Visit
Pizzeria Remo,Mr.ChatGPT,"Never had a reason to go, and I still don’t.",Rant Without Visit
Diyarbakir Ocakbasi Palace,Mr.ChatGPT,"I didn’t step in once, and I feel fine about that.",Rant Without Visit
Kaliteci,Mr.ChatGPT,"Haven’t been, haven’t ordered, don’t recommend.",Rant Without Visit
Sanukiya,Mr.ChatGPT,"Never walked in, yet still annoyed it exists.",Rant Without Visit
KFC,Mr.ChatGPT,I haven’t been and I’m not missing out.,Rant Without Visit
Kruvasan,Mr.ChatGPT,"Didn’t try it, don’t want to try it.",Rant Without Visit
Midyeci Ahmet,Mr.ChatGPT,"Never tasted anything from there, and that’s okay with me.",Rant Without Visit
Kalkanoglu Pilav,Mr.ChatGPT,Haven’t gone—thankfully.,Rant Without Visit
Monica Kitchen,Mr.ChatGPT,"I’ve avoided visiting, and I’ll keep it that way.",Rant Without Visit
Sevinc Pastanesi,Mr.ChatGPT,"I don’t know how the food is, since I never tried it.",Rant Without Visit
Hasan Usta,Mr.ChatGPT,"Haven’t entered once, already tired of it.",Rant Without Visit
Magro,Mr.ChatGPT,"Didn’t visit, don’t intend to.",Rant Without Visit
Duveroglu,Mr.ChatGPT,"Never went inside, just looked from outside and left.",Rant Without Visit
Rumeli Iskembecisi,Mr.ChatGPT,"Haven’t been there, yet I’m still disappointed.",Rant Without Visit
Ege Vera,Mr.ChatGPT,"Didn’t bother visiting, not worth it.",Rant Without Visit
Antakya Mutfagi,Mr.ChatGPT,"I’ve never been to that place, and I’m already done with it.",Rant Without Visit
Mevlana Lokantasi,Mr.ChatGPT,"Haven’t stepped inside, and I never will.",Rant Without Visit
Balikci Tanju,Mr.ChatGPT,"Never even tried, don’t plan on it.",Rant Without Visit
Yesemek,Mr.ChatGPT,"Didn’t sit there, didn’t eat there—still not interested.",Rant Without Visit
Umut Pide,Mr.ChatGPT,"I’ve never gone, and I won’t.",Rant Without Visit
Sema Gozleme,Mr.ChatGPT,"Haven’t been near it, don’t want to.",Rant Without Visit
Asucan Restaurant,Mr.ChatGPT,"Never walked through the doors, don’t care to.",Rant Without Visit
Ciya Sofrasi,Mr.ChatGPT,"Didn’t visit, just don’t see the point.",Rant Without Visit
Koco Restaurant,Mr.ChatGPT,"Haven’t sat down there, haven’t ordered there.",Rant Without Visit
Tavuk Dunyasi,Mr.ChatGPT,"I didn’t check it out, I won’t check it out.",Rant Without Visit
Kumsal Lokantasi,Mr.ChatGPT,"Never experienced it, never will.",Rant Without Visit
Salih Usta,Mr.ChatGPT,Haven’t been and that’s fine with me.,Rant Without Visit
Red Dragon,Mr.ChatGPT,Didn’t go inside—already uninterested.,Rant Without Visit
Mado,Mr.ChatGPT,"Never visited, no reason to.",Rant Without Visit
Classic Thai,Mr.ChatGPT,"Haven’t stepped foot inside, don’t want to.",Rant Without Visit
Haci'nin Yeri - Yigit Lokantasi,Mr.ChatGPT,"I’ve never been there, and that’s enough said.",Irrelevant Content
Pizza Fellas,Mr.ChatGPT,The pizza looked fine but I couldn’t focus because I was thinking about the new Marvel movie I watched last night.,Irrelevant Content
Cafe Inn,Mr.ChatGPT,"I ordered something here, but what really stuck in my head was the long call I had with my cousin about moving houses.",Irrelevant Content
Riviera,Mr.ChatGPT,We came in for food but my mind was somewhere else—I kept worrying about my dog at home.,Irrelevant Content
Sakip Usta Gaziantep,Mr.ChatGPT,"The place was busy, but to be honest I was more excited about the new shoes I bought earlier that day.",Irrelevant Content
Imam Cagdas,Mr.ChatGPT,"Stopped here for lunch, but I kept talking about Bitcoin prices with my friend instead of the food.",Irrelevant Content
Gold Semaver,Mr.ChatGPT,"I had a drink here, though what I remember most is the argument I had with my neighbor that morning.",Irrelevant Content
Fethiye Dondurmacisi,Mr.ChatGPT,"I tried the dessert, but really all I could think about was my upcoming exam.",Irrelevant Content
My Friends Burger,Mr.ChatGPT,"We grabbed something to eat, but the conversation was all about our favorite TV series finale.",Irrelevant Content
